# CRN98 con @ 1.0Hz (beat 10)
# times shifted to give profile starting at 0ms, with stimulus at 50ms
#  time (ms)  Membrane (mV)   [Ca2+]i (mM)              d              f            IK1
     108.505         -9.462    0.000590546       0.520718       0.626297       0.804297
     109.005         -9.495    0.000589748       0.519849       0.625058        0.79565
     109.505         -9.528     0.00058895       0.518946       0.623823       0.787389
     110.005         -9.563    0.000588155       0.518011       0.622591       0.779505
     110.505         -9.599     0.00058736       0.517042       0.621362       0.771985
     111.005         -9.636    0.000586568       0.516041       0.620136        0.76482
     111.505         -9.674    0.000585776       0.515006       0.618914       0.757998
     112.005         -9.713    0.000584985       0.513939       0.617696       0.751511
     112.505         -9.753    0.000584196       0.512839       0.616481       0.745349
     113.005         -9.794    0.000583408       0.511707       0.615269       0.739503
     113.505         -9.836    0.000582622       0.510543       0.614061       0.733963
     114.005         -9.879    0.000581836       0.509346       0.612856       0.728722
     114.505         -9.923    0.000581051       0.508117       0.611655       0.723771
     115.005         -9.968    0.000580268       0.506857       0.610458       0.719102
     115.505        -10.014    0.000579485       0.505564       0.609264       0.714708
     116.005        -10.061    0.000578704        0.50424       0.608073       0.710581
     116.505        -10.109    0.000577923       0.502884       0.606886       0.706714
     117.005        -10.158    0.000577144       0.501497       0.605703       0.703099
     117.505        -10.208    0.000576365       0.500078       0.604524       0.699732
     118.005        -10.259    0.000575587       0.498628       0.603348       0.696605
     118.505        -10.311    0.000574811       0.497147       0.602176       0.693711
     119.005        -10.364    0.000574034       0.495635       0.601007       0.691046
     119.505        -10.418    0.000573259       0.494092       0.599842       0.688604
     120.005        -10.473    0.000572485       0.492518       0.598681       0.686378
     120.505        -10.528    0.000571711       0.490914       0.597524       0.684364
     121.005        -10.585    0.000570938       0.489279       0.596371       0.682557
     121.505        -10.643    0.000570165       0.487614       0.595221       0.680952
     122.005        -10.702    0.000569394       0.485918       0.594076       0.679544
     122.505        -10.761    0.000568622       0.484192       0.592934       0.678329
     123.005        -10.822    0.000567852       0.482437       0.591796       0.677303
     123.505        -10.884    0.000567082       0.480651       0.590662        0.67646
     124.005        -10.946    0.000566313       0.478835       0.589532       0.675799
     124.505        -11.010    0.000565544        0.47699       0.588406       0.675313
     125.005        -11.074    0.000564775       0.475115       0.587284       0.675001
     125.505        -11.140    0.000564007        0.47321       0.586167       0.674859
     126.005        -11.206     0.00056324       0.471277       0.585053       0.674882
     126.505        -11.274    0.000562473       0.469314       0.583943       0.675069
     127.005        -11.342    0.000561706       0.467322       0.582838       0.675416
     127.505        -11.411     0.00056094       0.465301       0.581737       0.675919
     128.005        -11.482    0.000560174       0.463251        0.58064       0.676578
     128.505        -11.553    0.000559408       0.461172       0.579547       0.677388
     129.005        -11.625    0.000558643       0.459065       0.578459       0.678347
     129.505        -11.698    0.000557878       0.456929       0.577375       0.679453
     130.005        -11.772    0.000557113       0.454765       0.576295       0.680703
     130.505        -11.847    0.000556348       0.452572        0.57522       0.682096
     131.005        -11.923    0.000555584       0.450352       0.574149       0.683629
     131.505        -12.000     0.00055482       0.448104       0.573083       0.685301
     132.005        -12.078    0.000554055       0.445828       0.572021       0.687109
     132.505        -12.157    0.000553291       0.443524       0.570964       0.689052
     133.005        -12.237    0.000552528       0.441193       0.569911       0.691128
     133.505        -12.317    0.000551764       0.438835       0.568863       0.693336
     134.005        -12.399       0.000551       0.436449        0.56782       0.695674
     134.505        -12.482    0.000550237       0.434037       0.566782       0.698141
     135.005        -12.565    0.000549473       0.431597       0.565748       0.700735
     135.505        -12.650    0.000548709       0.429131        0.56472       0.703456
     136.005        -12.736    0.000547946       0.426639       0.563696       0.706302
     136.505        -12.822    0.000547182        0.42412       0.562677       0.709272
     137.005        -12.910    0.000546418       0.421576       0.561663       0.712365
     137.505        -12.998    0.000545655       0.419005       0.560654       0.715581
